"項目","単位","1980_昭和55年","1981_昭和56年","1982_昭和57年","1983_昭和58年","1984_昭和59年","1985_昭和60年","1986_昭和61年","1987_昭和62年","1988_昭和63年","1989_平成元年","1990_平成2年","1991_平成3年","1992_平成4年","1993_平成5年","1994_平成6年","1995_平成7年","1996_平成8年","1997_平成9年","1998_平成10年","1999_平成11年","2000_平成12年","2001_平成13年","2002_平成14年","2003_平成15年","2004_平成16年","2005_平成17年","2006_平成18年","2007_平成19年","2008_平成20年","2009_平成21年","2010_平成22年","2011_平成23年","2012_平成24年","有効数字(少数桁)"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　世帯数分布（抽出率調整）","","38.0","34.0","38.0","31.0","32.0","35.0","34.0","32.0","32.0","36.0","35.0","33.0","35.0","32.0","31.0","30.0","31.0","28.0","30.0","30.0","27.0","27.0","26.0","28.0","29.0","26.0","26.0","24.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　集計世帯数","","57.0","50.0","56.0","53.0","55.0","58.0","57.0","53.0","52.0","59.0","56.0","52.0","55.0","54.0","54.0","50.0","51.0","47.0","52.0","51.0","45.0","43.0","41.0","45.0","46.0","40.0","40.0","37.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　世帯人員","人","3.65","3.75","3.77","3.73","3.99","3.61","3.68","3.91","3.85","3.59","3.59","3.61","3.72","3.48","3.54","3.37","3.49","3.51","3.5","3.46","3.52","3.48","3.57","3.42","3.22","3.35","3.49","3.49","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　有業人員","人","1.26","1.29","1.26","1.27","1.39","1.32","1.35","1.36","1.45","1.38","1.41","1.56","1.42","1.6","1.48","1.49","1.44","1.66","1.42","1.49","1.4","1.55","1.56","1.49","1.4","1.57","1.46","1.61","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　収入総額","円","553487.0","542367.0","563021.0","591460.0","627602.0","677507.0","652436.0","711393.0","702245.0","761989.0","849639.0","877343.0","994407.0","924871.0","1023086.0","915455.0","995342.0","1017535.0","1049671.0","953364.0","967188.0","966574.0","1036633.0","1000379.0","904542.0","882401.0","967575.0","861106.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　実収入","円","351219.0","335822.0","348403.0","355182.0","361193.0","384518.0","381768.0","433594.0","409654.0","438400.0","489255.0","499873.0","543229.0","520789.0","552796.0","505256.0","540239.0","562529.0","595445.0","520490.0","554173.0","523439.0","534560.0","536171.0","495275.0","484524.0","513367.0","493997.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　　経常収入","円","345988.0","326918.0","341025.0","348436.0","353626.0","371688.0","373348.0","421329.0","402013.0","426757.0","481472.0","488391.0","525424.0","510960.0","539583.0","494495.0","526704.0","555411.0","586303.0","512109.0","548455.0","516737.0","524513.0","526346.0","490661.0","476370.0","501449.0","488019.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _       勤め先収入","円","339457.0","322046.0","333532.0","340453.0","339018.0","357357.0","357192.0","407796.0","394315.0","412515.0","468002.0","476303.0","514479.0","503275.0","530025.0","479090.0","502566.0","534130.0","565164.0","494888.0","532965.0","495474.0","503948.0","518131.0","478922.0","459838.0","491996.0","473447.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　     世帯主収入","円","331961.0","314501.0","320130.0","333249.0","321857.0","347080.0","340000.0","384882.0","367051.0","386205.0","434238.0","434595.0","489527.0","457723.0","491701.0","445232.0","468467.0","487535.0","528894.0","460197.0","483407.0","458489.0","456756.0","456704.0","443993.0","413346.0","446540.0","437980.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _         世帯主の配偶者の勤め先収入(うち女）)","円","6885.0","7263.0","8822.0","6224.0","14574.0","8711.0","14234.0","19013.0","22840.0","22761.0","31828.0","32343.0","19086.0","37787.0","34065.0","29863.0","32695.0","43371.0","26737.0","32082.0","46710.0","33718.0","39816.0","50687.0","31933.0","41617.0","438516.0","33598.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　     他の経常収入","円","3341.0","1695.0","3232.0","2302.0","8763.0","6747.0","9154.0","8923.0","3710.0","4644.0","7956.0","5189.0","6498.0","4690.0","7152.0","14024.0","19712.0","17469.0","20349.0","15924.0","14470.0","20742.0","20024.0","7615.0","10082.0","14836.0","44427.0","13809.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _  　  特別収入","円","5232.0","8904.0","7378.0","6746.0","7566.0","12831.0","8420.0","12265.0","7641.0","11643.0","7783.0","11482.0","17805.0","9829.0","13213.0","10761.0","13535.0","7118.0","9142.0","8381.0","5718.0","6702.0","10047.0","9825.0","4615.0","8154.0","9155.0","5978.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　  実収入以外の収入","円","110080.0","120384.0","125822.0","140358.0","164344.0","193768.0","162858.0","172063.0","173661.0","223050.0","255653.0","271266.0","341300.0","294766.0","369345.0","308816.0","337101.0","355348.0","361982.0","330273.0","321779.0","343560.0","402156.0","368043.0","329464.0","312341.0","369625.0","294576.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _        預貯金引き出し","円","103185.0","114913.0","116426.0","134846.0","158429.0","186081.0","154095.0","165546.0","160373.0","215041.0","244760.0","258235.0","311619.0","275274.0","339151.0","289746.0","317453.0","333780.0","340049.0","313904.0","299378.0","322229.0","366697.0","346239.0","311103.0","293921.0","349017.0","274077.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　      保険取金","円","350.0","170.0","335.0","1379.0","464.0","111.0","554.0","929.0","2447.0","822.0","652.0","261.0","6645.0","3039.0","469.0","461.0","7456.0","905.0","2380.0","2382.0","6391.0","4170.0","1506.0","6210.0","2606.0","1618.0","1177.0","3516.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _      　土地家屋借入金","円","0.0","0.0","3788.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12346.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　支出総額","円","553487.0","542367.0","563021.0","591460.0","627602.0","677507.0","652436.0","711393.0","702245.0","761989.0","849639.0","877343.0","994407.0","924871.0","1023086.0","915455.0","995342.0","1017535.0","1049671.0","953364.0","967188.0","966574.0","1036633.0","1000379.0","904542.0","882401.0","967575.0","861106.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　実支出","円","288641.0","288655.0","290724.0","300453.0","316502.0","320618.0","326728.0","341739.0","323150.0","324746.0","379957.0","383959.0","414543.0","405294.0","425003.0","391762.0","405281.0","444594.0","443456.0","393914.0","381763.0","388785.0","439520.0","420781.0","363959.0","354075.0","363876.0","351801.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　　消費支出","円","239692.0","240002.0","241215.0","250080.0","266815.0","264502.0","272433.0","274830.0","263223.0","264058.0","292754.0","305765.0","323563.0","315477.0","335306.0","312767.0","317611.0","343914.0","345111.0","303995.0","287929.0","302720.0","340501.0","321963.0","278718.0","268567.0","274886.0","266343.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　　消費支出_　　　　食料","円","66928.0","65701.0","67839.0","69550.0","73497.0","70296.0","70972.0","71660.0","72757.0","70091.0","79383.0","79205.0","81121.0","80933.0","80152.0","71403.0","77361.0","80796.0","79568.0","73328.0","70860.0","74139.0","70679.0","70545.0","67482.0","64591.0","62489.0","65588.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　　消費支出_　　　　住居","円","5182.0","6764.0","7694.0","7097.0","13115.0","9123.0","9408.0","13298.0","9031.0","11626.0","9359.0","13497.0","10160.0","10944.0","17706.0","17217.0","16171.0","13024.0","19107.0","15934.0","16296.0","11667.0","19905.0","14834.0","19350.0","11230.0","14144.0","14069.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　　消費支出_　　　　光熱・水道","円","12441.0","14514.0","14441.0","15219.0","16243.0","15631.0","15393.0","14654.0","14276.0","14522.0","14568.0","16219.0","16763.0","17114.0","18957.0","16934.0","19317.0","19595.0","19551.0","18972.0","20648.0","21707.0","20161.0","18873.0","19379.0","19101.0","19017.0","19040.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　　消費支出_　　　　家具・家事用品","円","9390.0","12131.0","8353.0","8589.0","9795.0","11833.0","13088.0","9316.0","10476.0","11161.0","11490.0","11268.0","13384.0","10833.0","11899.0","13130.0","12017.0","11966.0","12995.0","10814.0","10063.0","12187.0","17262.0","10694.0","10316.0","9655.0","11038.0","8264.0","－","－","－","－","－","－"
"二人以上の世帯のうち勤労者世帯―１世帯当たり年平均１ヶ月間の収入と支出 _　　　消費支出_　　　　被服及び履物","円","16897.0","15945.0","16387.0","17736.0","18836.0","16089.0","18868.0","20633.0","17166.0","19526.0","20769.0","26534.0","21221.0","18107.0","23110.0","17404.0","18661.0","21894.0","18378.0","15236.0","14117.0","13205.0","15305.0","13113.0","11009.0","12106.0","13417.0","12164.0","－","－","－","－","－","－"
